site,year,sheet,remarks
LAGW,2012,Continuous,
LAGW,2013,Continuous,
LAGW,2019,Continuous,
LEA1,1995,Campaign,
LEA1,1997,Campaign,
LEA1,1999,Campaign,
LEA1,2001,Campaign,
LEA1,2009,Campaign,
LEA1,2011,Campaign,
LEB1,2009,Campaign,
LEB1,2011,Campaign,
LEC1,2001,Campaign,
LEC1,2009,Campaign,
LEC1,2011,Campaign,
LEY1,2014,Campaign,
LEY5,2014,Campaign,
LEYB,1994,Campaign,
LEYB,1995,Campaign,
LEYB,1996,Campaign,
LEYB,1997,Campaign,
LEYB,1999,Campaign,
LEYB,2001,Campaign,
LEYB,2009,Campaign,
LEYB,2011,Campaign,
LEYC,2009,Campaign,
LEYC,2011,Campaign,
LEYD,2009,Campaign,
LEYD,2011,Campaign,
LEYD,2017,Campaign,
LEYE,1997,Campaign,
LEYE,1999,Campaign,
LEYE,2001,Campaign,
LEYE,2009,Campaign,
LEYE,2011,Campaign,
LEYE,2012,Campaign,
LEYF,2009,Campaign,
LEYF,2011,Campaign,
LEYG,1995,Campaign,
LEYG,1997,Campaign,
LEYG,1999,Campaign,
LEYG,2009,Campaign,
LEYG,2011,Campaign,
LEYG,2012,Campaign,
LEYH,1995,Campaign,Converting
LEYH,1999,Campaign,Converting
LEYH,2001,Campaign,Converting
LEYH,2009,Campaign,Converting
LEYH,2011,Campaign,Converting
LEYH,2012,Campaign,Converting
LEYH,2014,Campaign,Converting
LEYI,1995,Campaign,
LEYI,1999,Campaign,
LEYI,2001,Campaign,
LEYI,2009,Campaign,
LEYI,2011,Campaign,
LEYJ,2001,Campaign,
LEYJ,2009,Campaign,
LEYJ,2011,Campaign,
LEYJ,2012,Campaign,
LGYE,2013,Continuous,
LOP2,2006,Campaign,
LOP2,2008,Campaign,
LOP2,2010,Campaign,
LOP2,2011,Campaign,
LOP2,2017,Campaign,
LUBU,2010,Campaign,
LUBU,2011,Campaign,
LUBU,2013,Campaign,
LUCB,2013,Continuous,
LUN1,2008,Campaign,To retrieve
LUN1,2009,Campaign,To retrieve
LUN1,2011,Campaign,To retrieve
LUN2,2008,Campaign,
LUN2,2009,Campaign,
LUN2,2011,Campaign,
LUN2,2013,Campaign,
LUZA,1996,Campaign,Converting
LUZA,1997,Campaign,Converting
LUZA,1998,Campaign,Converting
LUZA,1999,Campaign,Converting
LUZA,2000,Campaign,Converting
