sheet,group,site,year,doy_range,fill_rgb,colour_meaning,colour_exact,site_fill_rgb,site_colour_meaning,status,time_series,year_processed,staff,remarks
Continuous,NCKU LEYTE,JARO,2025,1---51,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,ORMO,2017,269---308,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,ORMO,2018,"38, 143, 311-365",,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,ORMO,2019,1---228,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,ORMO,2021,329---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,ORMO,2022,1---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,ORMO,2023,1---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,ORMO,2024,1---366,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,ORMO,2025,"1-37, 79-84, 88, 115-318",,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,PALM,2014,"149-179, 205-328",,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,PALM,2015,48---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,PALM,2016,1---53,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,PALM,2017,"14-15, 137-365",,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,PALM,2018,"1-39, 143-365",,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,PALM,2019,1---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,PALM,2020,1---251,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,PALM,2021,327---329,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,PALM,2022,283---288,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,PALM,2023,347---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,PALM,2024,1---366,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,PALM,2025,"1-195, 277-365",,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,PALM,2026,1---33,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,PALO,2018,"36-40, 143-351",,,,FFFFFF00,Downloaded data this year,True,True,,,False
Continuous,NCKU LEYTE,PALO,2019,"9-18, 79-239, 271-284",,,,FFFFFF00,Downloaded data this year,True,True,,,False
Continuous,NCKU LEYTE,PALO,2021,326---353,,,,FFFFFF00,Downloaded data this year,True,True,,,False
Continuous,NCKU LEYTE,PALO,2022,283---285,,,,FFFFFF00,Downloaded data this year,True,True,,,False
Continuous,NCKU LEYTE,PALO,2023,156---365,,,,FFFFFF00,Downloaded data this year,True,True,,,False
Continuous,NCKU LEYTE,PALO,2024,"1-18, 109-366",,,,FFFFFF00,Downloaded data this year,True,True,,,False
Continuous,NCKU LEYTE,PALO,2025,1---365,,,,FFFFFF00,Downloaded data this year,True,True,,,False
Continuous,NCKU LEYTE,PALO,2026,1---36,,,,FFFFFF00,Downloaded data this year,True,True,,,False
