# Built 2026-09-23 on gps3, together with the file beside it, by ONE command:
#   scripts/build_crd_catalog.py --root /srv/gnss-archive --root $P \
#       --rinex <listing of every RINEX path in the archive, 480,178 lines> \
#       -o docs/bern52/crd_catalog.csv --clusters-out docs/bern52/crd_clusters.csv
# Both files must come from the same invocation: --rinex adds sites that only
# RINEX headers cover, so a run without it yields fewer sites in both.
# One row per distinct MONUMENT, not per site code. A code
# naming two physical marks appears twice. Judge a real
# collision by cluster SIZE and RATIO -- see _cluster_row().
site,cluster,of_clusters,n_rows,n_files,x,y,z,lat,lon,height,spread_m,best_kind,frames
7249,1,1,2,2,-2148760.5958,4426759.5667,4044509.6343,39.6069337,115.8920568,81.733,0.00,REFERENCE,ITRF2008
7255,1,4,3,3,-3351382.0180,5225196.0691,1460354.7030,13.3242951,122.6756561,63.687,1.80,RNXHDR,
7255,2,4,2,2,-3382149.5959,5211375.5069,1438982.3113,13.1257590,122.9833148,106.935,1.15,RNXHDR,
7255,3,4,2,2,-3315612.0659,5239754.0351,1489341.9091,13.5937089,122.3248143,59.771,2.21,RNXHDR,
7255,4,4,2,2,-3280165.2670,5246173.8695,1543856.1694,14.1011841,122.0156436,58.647,1.53,RNXHDR,
7265,1,1,2,2,-2356475.9650,-4646618.2443,3668424.7424,35.3312150,-116.8912909,896.081,0.00,REFERENCE,ITRF2008
7274,1,1,2,2,-2386289.8430,-4802346.1425,3444884.2474,32.8917683,-116.4228202,1838.792,0.00,REFERENCE,ITRF2008
7288,1,1,2,2,-2356494.3104,-4646607.6021,3668426.6018,35.3312349,-116.8915238,896.183,0.00,REFERENCE,ITRF2008
7295,1,1,2,2,961318.8415,-5674090.9761,2740489.6244,25.6133545,-80.3841151,-22.748,0.00,REFERENCE,ITRF2008
7307,1,1,4,2,-3268751.5773,4807238.1782,2615629.3449,24.3692118,124.2143135,99.457,0.22,REFERENCE,ITRF2008
7308,1,1,2,2,-3942020.1201,3368097.5849,3702191.0101,35.7100847,139.4891239,122.439,0.00,REFERENCE,ITRF2008
7328,1,1,2,2,-3941941.2469,3368169.5548,3702195.6674,35.7101883,139.4879531,114.428,0.00,REFERENCE,ITRF2008
7335,1,1,2,2,-3997484.3316,3276846.9096,3724296.5575,35.9561910,140.6575923,65.720,0.00,REFERENCE,ITRF2008
7337,1,1,2,2,-3976161.6224,3377950.3730,3656687.3303,35.2067310,139.6504162,98.419,0.00,REFERENCE,ITRF2008
7339,1,1,2,2,-4000955.0870,3375310.3303,3632200.9837,34.9369233,139.8481458,119.591,0.00,REFERENCE,ITRF2008
7355,1,1,2,2,184591.8895,4606751.1983,4393756.4611,43.8136151,87.7053935,845.356,0.00,REFERENCE,ITRF2008
7356,1,1,2,2,-100535.9611,5550602.1007,3137036.8148,29.6348569,91.0376634,3600.762,0.00,REFERENCE,ITRF2008
7357,1,1,2,2,-2148781.6538,4426678.2000,4044571.5581,39.6077309,115.8926911,71.900,0.00,REFERENCE,ITRF2008
7358,1,1,2,2,-3607651.5073,4147873.9774,3223722.8851,30.5565112,131.0154148,141.379,0.00,REFERENCE,ITRF2008
7370,1,1,2,2,-3987188.0825,2701418.3288,-4167720.3404,-41.0622150,145.8813908,129.580,0.00,REFERENCE,ITRF2008
